title,description,price,image_urls,other_features
Canyon Endurance CF SL 7 ETAP 2022 - CANYON - 80500,"Salut !Je propose à la vente mon fidèle Canyon Endurace CF SL 7 construit en 2022 (taille L) en raison d'un nouvel achat.Cadre• Canyon Endurace CF SL• Matériau : Carbone• Dimension de l'axe : 12 x 142 mmFourchette• Disque Canyon F38 CF• Fourche carbone haut de gamme pour vélos de course avec rapport rigidité/poids optimisé.• Diamètre de la direction : 1 1/4""• Dégagement des pneus : 31 mm• Matériau : Carbone (CF)poste de pilotage• Canyon H31 Ergocockpit CF• Combinaison guidon-potence en carbone avec une portée plus courte et un évasement de 3° pour un meilleur contrôle dans la position inférieure du guidon.• Matériau : Carbone• Forme : Ergo• Portée : 70 mm• Chute : 130 mmTige de selle• Canyon S15 VCLS 2.0 CF• Tige de selle confort légère et amortissante en carbone avec débattement vertical de 20 mm.• Matériau : Carbone• Retrait : 13 mm/25 mm• Technologie : VCLS 2.0 | Tête rabattableconduire• Cassette• SRAM Rival XG-1250, 12 vitesses, 10-36• Nombre de pignons : 12• Traduction : 10-36• Dérailleur arrière• SRAM Rival eTap AXS 12 s• Dérailleur avant• SRAM Rival eTap AXS FD• Manivelle : SRAM Rival D1 avec Powermeter – SRAM Rival AXS PowerMeter – DUB - noir• Chaîne : SRAM Rival D1 12vRoues• DT Swiss Endurance LN (Tubeless Ready)Pneus• Continental GP 5000 S TR (Tubeless Ready) – Neuf et inutilisé !• 25 mm à l'avant / 28 mm à l'arrière",2000 €,"['/_next/image?url=https%3A%2F%2Fmedia-cdn.troc-velo.com%2Ffull%2Fmain%2FbikeAds%2F732%2F71732%2F3971732%2F3971732-canyon-endurance-cf-sl-7-etap-2022-1741686479.jpeg&w=1920&q=75', '/_next/image?url=https%3A%2F%2Fmedia-cdn.troc-velo.com%2Ffull%2Fmain%2FbikeAds%2F732%2F71732%2F3971732%2F3971732-canyon-endurance-cf-sl-7-etap-2022-1741686478.jpeg&w=1920&q=75']","{'Année': '2022', 'État': 'Neuf', 'Groupe': 'SRAM Red eTap', 'Taille du cadre': 'M', 'Diametre roues': 'Autre', 'Matière principale': 'Carbone', 'Couleurs principales': 'Gris', 'Type de freinage': 'Disques', 'Pratique': 'Route', 'Nombres de vitesses': '12 vitesses', 'Groupe électrique (AXS, Di2, eTap, ..)': 'Oui'}"
Lapierre sensium 500 - LAPIERRE - 91590,A vendre lapierre 500 sensiumVelo transmission shimano 105Velo a peine 2000kms pas de frais a prevoirPas de chute tout carbonne toujour nettoyer apres chaque sortieAvec jante en carbonne victoria 40 prix 2700 eurosVendu avec jante d origine allu prix 1400 euros plus d information me contacter,1400 €,"['/_next/image?url=https%3A%2F%2Fmedia-cdn.troc-velo.com%2Ffull%2Fmain%2FbikeAds%2F133%2F66133%2F3966133%2F3966133-lapierre-sensium-500-1740927543.jpg&w=1920&q=75', '/_next/image?url=https%3A%2F%2Fmedia-cdn.troc-velo.com%2Ffull%2Fmain%2FbikeAds%2F133%2F66133%2F3966133%2F3966133-lapierre-sensium-500-1740927544.jpg&w=1920&q=75']","{'Année': '2019', 'État': 'Très bon état', 'Groupe': 'Shimano 105', 'Taille du cadre': 'L', 'Diametre roues': '700 / 28""', 'Matière principale': 'Carbone', 'Couleurs principales': 'Gris', 'Type de freinage': 'Patins', 'Pratique': 'Route', 'Nombres de vitesses': '11 vitesses', 'Groupe électrique (AXS, Di2, eTap, ..)': 'Non'}"
Vélo Piste Specialized LANGSTER - SPECIALIZED - 36150,Vend vélo fixie piste Specialized LANGSTERTaille 52 - SPlateau Miche 47 + Plateau d'origine 48Roue réversible Pignons 14/15 + Pignon supplémentaire 16Très Bon Etat,400 €,"['/_next/image?url=https%3A%2F%2Fmedia-cdn.troc-velo.com%2Ffull%2Fmain%2FbikeAds%2F614%2F53614%2F3953614%2F3953614-velo-piste-specialized-langster-1739479431.jpg&w=1920&q=75', '/_next/image?url=https%3A%2F%2Fmedia-cdn.troc-velo.com%2Ffull%2Fmain%2FbikeAds%2F614%2F53614%2F3953614%2F3953614-velo-piste-specialized-langster-1739479430.jpg&w=1920&q=75', '/_next/image?url=https%3A%2F%2Fmedia-cdn.troc-velo.com%2Ffull%2Fmain%2FbikeAds%2F614%2F53614%2F3953614%2F3953614-velo-piste-specialized-langster-1739479433.jpg&w=1920&q=75']","{'État': 'Très bon état', 'Taille du cadre': '52 cm', 'Diametre roues': '700 / 28""', 'Matière principale': 'Aluminium', 'Couleurs principales': 'Noir', 'Pratique': 'Piste'}"
MERIDA SCULTURA 6000 - MERIDA - 64680,"A vendre vélo route Scultura 6000 monté entièrement en Campagnolo Record, roues DT SWISS PR 1400, potence et cintre haut de gamme. Un velo très léger idéal pour débuter ou pour un ado qui roule fort et qui cherche un tres bon velo sans casser la tirelire",1300 €,"['/_next/image?url=https%3A%2F%2Fmedia-cdn.troc-velo.com%2Ffull%2Fmain%2FbikeAds%2F36%2F83036%2F3983036%2F3983036-merida-scultura-6000-1743235292.jpg&w=1920&q=75', '/_next/image?url=https%3A%2F%2Fmedia-cdn.troc-velo.com%2Ffull%2Fmain%2FbikeAds%2F36%2F83036%2F3983036%2F3983036-merida-scultura-6000-1743235293.jpg&w=1920&q=75', '/_next/image?url=https%3A%2F%2Fmedia-cdn.troc-velo.com%2Ffull%2Fmain%2FbikeAds%2F36%2F83036%2F3983036%2F3983036-merida-scultura-6000-1743235295.jpg&w=1920&q=75', '/_next/image?url=https%3A%2F%2Fmedia-cdn.troc-velo.com%2Ffull%2Fmain%2FbikeAds%2F36%2F83036%2F3983036%2F3983036-merida-scultura-6000-1743235296.jpg&w=1920&q=75']","{'Année': '2020', 'État': 'Très bon état', 'Groupe': 'Campagnolo Record', 'Taille du cadre': 'M/L', 'Diametre roues': '700 / 28""', 'Matière principale': 'Carbone', 'Couleurs principales': 'Noir, Vert', 'Type de freinage': 'Patins', 'Pratique': 'Route', 'Nombres de vitesses': '11 vitesses', 'Groupe électrique (AXS, Di2, eTap, ..)': 'Non'}"
Vélo van rysel RCR CF - VAN RYSEL - 17320,"Vélo Van rysel RCR CF taille M* Cadre et fourche carbone ( à noter une griffure sous la boite de pédalier suite à un saut de chaine : ne se voit pas sauf si on retourne le vélo )* Groupe shimano ultégra FC R8000 sauf dérailleur 105 ( mais possibilité de mettre l'ultégra d'origine ) : manivelles 172,5 mm , plateaux 50-34 ( possibilité de remettre les 52-36 d'origine )* potence alu XLC comp en 110 mm* Cintre alu FSA Compact largeur 420mm axe-axe* Selle fizik aliante open* Vendu sans pédales* Ce qui est neuf ( changé mi novembre ) : blocage tige de selle , cables et gaines , guidonine , jeu de pédalier , plateaux 50-34 )* Roues mavic cosmic carbone SL avec cassette shimano 11-32 ( possibilité 11-30 ou 11-28 ) et pneus michelin lithion 2 en 23 mm ( quasi neufs )",1500 €,"['/_next/image?url=https%3A%2F%2Fmedia-cdn.troc-velo.com%2Ffull%2Fmain%2FbikeAds%2F679%2F34679%2F3934679%2F3934679-velo-van-rysel-rcr-cf-1737139433.jpg&w=1920&q=75', '/_next/image?url=https%3A%2F%2Fmedia-cdn.troc-velo.com%2Ffull%2Fmain%2FbikeAds%2F679%2F34679%2F3934679%2F3934679-velo-van-rysel-rcr-cf-1737139434.jpg&w=1920&q=75', '/_next/image?url=https%3A%2F%2Fmedia-cdn.troc-velo.com%2Ffull%2Fmain%2FbikeAds%2F679%2F34679%2F3934679%2F3934679-velo-van-rysel-rcr-cf-1737139435.jpg&w=1920&q=75', '/_next/image?url=https%3A%2F%2Fmedia-cdn.troc-velo.com%2Ffull%2Fmain%2FbikeAds%2F679%2F34679%2F3934679%2F3934679-velo-van-rysel-rcr-cf-1737139437.jpg&w=1920&q=75', '/_next/image?url=https%3A%2F%2Fmedia-cdn.troc-velo.com%2Ffull%2Fmain%2FbikeAds%2F679%2F34679%2F3934679%2F3934679-velo-van-rysel-rcr-cf-1737139438.jpg&w=1920&q=75', '/_next/image?url=https%3A%2F%2Fmedia-cdn.troc-velo.com%2Ffull%2Fmain%2FbikeAds%2F679%2F34679%2F3934679%2F3934679-velo-van-rysel-rcr-cf-1737139440.jpg&w=1920&q=75']","{'État': 'Comme neuf', 'Groupe': 'Shimano Ultegra', 'Taille du cadre': 'M', 'Diametre roues': 'Autre', 'Matière principale': 'Carbone', 'Couleurs principales': 'Noir', 'Type de freinage': 'Disques', 'Nombres de vitesses': '11 vitesses', 'Groupe électrique (AXS, Di2, eTap, ..)': 'Oui'}"
Vélo Time alpe d’huez - TIME - 17600,Vélo route Time alpe d’huez 21Taille XXSGroupe Sram’force 22 mécaniqueBraquet de minime 46/14Roue carbone américain classicVélo sera réviséExcellent étatVendu sans pédales,2950 €,['/_next/image?url=https%3A%2F%2Fmedia-cdn.troc-velo.com%2Ffull%2Fmain%2FbikeAds%2F582%2F89582%2F3989582%2F3989582-velo-time-alpe-d-huez-1744198152.jpeg&w=1920&q=75'],"{'Année': '2023', 'État': 'Très bon état', 'Groupe': 'SRAM Force', 'Taille du cadre': 'XXS', 'Diametre roues': '700 / 28""', 'Matière principale': 'Carbone', 'Type de freinage': 'Disques', 'Pratique': 'Route', 'Nombres de vitesses': '11 vitesses', 'Groupe électrique (AXS, Di2, eTap, ..)': 'Non'}"
vélo trek  Domane +LT - TREK - 69380,Vélo éléctrique trek Domane   LT 2021  cadre carbone  géométrie mixte  équipé SHIMANO ULTEGRA  moteur Fazua  60 Nm Batterie 250 wh taille 56 cm   dérailleur avant et arrière Shimano Ultégra  R 8000    Freins Shimano Ultegra Dura -Ace  disque hydrolique,3600 €,"['/_next/image?url=https%3A%2F%2Fmedia-cdn.troc-velo.com%2Ffull%2Fmain%2FbikeAds%2F858%2F74858%2F3974858%2F3974858-velo-trek-domane-lt-1742117057.JPG&w=1920&q=75', '/_next/image?url=https%3A%2F%2Fmedia-cdn.troc-velo.com%2Ffull%2Fmain%2FbikeAds%2F858%2F74858%2F3974858%2F3974858-velo-trek-domane-lt-1742117058.JPG&w=1920&q=75', '/_next/image?url=https%3A%2F%2Fmedia-cdn.troc-velo.com%2Ffull%2Fmain%2FbikeAds%2F858%2F74858%2F3974858%2F3974858-velo-trek-domane-lt-1742117060.JPG&w=1920&q=75']","{'État': 'Comme neuf', 'Groupe': 'Shimano Ultegra', 'Taille du cadre': '56 cm', 'Diametre roues': '700 / 28""', 'Matière principale': 'Carbone', 'Couleurs principales': 'Noir, Rouge', 'Type de freinage': 'Disques', 'Pratique': 'Course Vintage', 'Nombres de vitesses': '11 vitesses'}"
Trek Madone SL 6 AXS 8e gén. 2025 - TREK - 19000,"LeTREK Madone SL 6AXSest unvélo de route TREKtrès performant et confortable sur les longues distances. Il estléger et aérodynamiquegrâce à soncadre carboneOCLV Carbon série 500et à la forme de ses tubes. LeTREK Madone SL 6AXSest le vélode compétitionpar excellence, idéal pour rouler vite et plus longtemps. Ce modèle dispose d’unetransmission électronique SRAM Rival AXS 2×12 vitessespour un passage fluide et rapide.Ce vélo est issu d’un droit de rétractation client. Le vélo n’a pas roulé.Suite à son passage dans nos ateliers nous avons vérifier les points suivants :Contrôle de la directionContrôle du système de freinageContrôle des roues et serrageRéglage et contrôle de précision de la transmissionLe cadre et les périphériques ont également fait l’objet d’un contrôle de finition, d’assemblage et de sécurité.",3869 €,"['/_next/image?url=https%3A%2F%2Fmedia-cdn.troc-velo.com%2Ffull%2Fmain%2FbikeAds%2F926%2F59926%2F3959926%2F3959926-trek-madone-sl-6-axs-8e-gen-2025-1740481068.jpg&w=1920&q=75', '/_next/image?url=https%3A%2F%2Fmedia-cdn.troc-velo.com%2Ffull%2Fmain%2FbikeAds%2F926%2F59926%2F3959926%2F3959926-trek-madone-sl-6-axs-8e-gen-2025-1740481069.jpg&w=1920&q=75', '/_next/image?url=https%3A%2F%2Fmedia-cdn.troc-velo.com%2Ffull%2Fmain%2FbikeAds%2F926%2F59926%2F3959926%2F3959926-trek-madone-sl-6-axs-8e-gen-2025-1740481070.jpg&w=1920&q=75', '/_next/image?url=https%3A%2F%2Fmedia-cdn.troc-velo.com%2Ffull%2Fmain%2FbikeAds%2F926%2F59926%2F3959926%2F3959926-trek-madone-sl-6-axs-8e-gen-2025-1740481072.jpg&w=1920&q=75', '/_next/image?url=https%3A%2F%2Fmedia-cdn.troc-velo.com%2Ffull%2Fmain%2FbikeAds%2F926%2F59926%2F3959926%2F3959926-trek-madone-sl-6-axs-8e-gen-2025-1740481079.jpg&w=1920&q=75', '/_next/image?url=https%3A%2F%2Fmedia-cdn.troc-velo.com%2Ffull%2Fmain%2FbikeAds%2F926%2F59926%2F3959926%2F3959926-trek-madone-sl-6-axs-8e-gen-2025-1740481078.jpg&w=1920&q=75', '/_next/image?url=https%3A%2F%2Fmedia-cdn.troc-velo.com%2Ffull%2Fmain%2FbikeAds%2F926%2F59926%2F3959926%2F3959926-trek-madone-sl-6-axs-8e-gen-2025-1740481075.jpg&w=1920&q=75', '/_next/image?url=https%3A%2F%2Fmedia-cdn.troc-velo.com%2Ffull%2Fmain%2FbikeAds%2F926%2F59926%2F3959926%2F3959926-trek-madone-sl-6-axs-8e-gen-2025-1740481073.jpg&w=1920&q=75', '/_next/image?url=https%3A%2F%2Fmedia-cdn.troc-velo.com%2Ffull%2Fmain%2FbikeAds%2F926%2F59926%2F3959926%2F3959926-trek-madone-sl-6-axs-8e-gen-2025-1740481081.jpg&w=1920&q=75', '/_next/image?url=https%3A%2F%2Fmedia-cdn.troc-velo.com%2Ffull%2Fmain%2FbikeAds%2F926%2F59926%2F3959926%2F3959926-trek-madone-sl-6-axs-8e-gen-2025-1740481076.jpg&w=1920&q=75']","{'Année': '2025', 'État': 'Comme neuf', 'Groupe': 'SRAM Rival AXS', 'Taille du cadre': 'M', 'Diametre roues': '700 / 28""', 'Matière principale': 'Carbone', 'Couleurs principales': 'Noir', 'Type de freinage': 'Disques', 'Pratique': 'Route', 'Nombres de vitesses': '12 vitesses', 'Groupe électrique (AXS, Di2, eTap, ..)': 'Oui'}"
Specialized Aethos Expert Ultegra Di2 - SPECIALIZED - 46988,"Vélo de route - Specialized Aethos Expert Ultegra Di2 - Shimano Ultegra Di2  - 2022Taille: 58État : 3---CARACTÉRISTIQUESCadre- Taille: 58- Taille du cycliste : 185 - 192 cm- Materiel du cadre: Carbone- Poid approximatif : 7.26 kg- Guidon: Specialized - Aluminium - 440 mm- Selle: Specialized Power- Tige de selle: Specialized Power - Carbone- Potence: Specialized - 110 mmTransmission- Plateaux: 52/36- Cassette: 12v - 11/30- Dérailleur arrière: Shimano Ultegra Di2- Dérailleur avant : Shimano Ultegra Di2- Freins: Freins à disques - Shimano Ultegra BR-R8170- Manivelles : Shimano Ultegra FC-R8100 - 175mmRoues- Jantes: Roval C 38 Disc Carbon -  - Carbone- Montage des pneus: Chambre à air---GARANTIE ET RÉVISIONLe vélo a été reconditionné et est couvert par la garantie Tuvalum de 12 mois. Les batteries et les moteurs sont garantis 6 mois.Toutes les photos de nos annonces sont récentes et prises par nos soins après la remise en état du vélo. Plus de photos sont disponibles sur demande.Tous les vélos sont inspectés, révisés et reconditionnés dans notre laboratoire selon une norme de certification unique comprenant plus de 100 points d'inspection.- Nous vérifions l'intégrité structurelle du cadre et de la fourche.- Nous vérifions tous les composants. Nous remplaçons les consommables et les pièces d'usure si nécessaire.- Nous nettoyons la transmission (cassette et chaîne) aux ultrasons.- Nous effectuons un graissage complet du vélo.- Nous vérifions que tous les composants et pièces sont conformes à la directive sur la sécurité générale des produits de l'Union européenne (DSGP 2001/95/CE).---Certains dommages cosmétiques peuvent ne pas apparaître sur les photos. Certaines protections peuvent être manquantes. Les pédales ne sont pas incluses.",4190 €,['/_next/image?url=https%3A%2F%2Fmedia-cdn.troc-velo.com%2Ffull%2Fmain%2FbikeAds%2F790%2F33790%2F3933790%2F678926de91c68&w=1920&q=75'],"{'Année': '2022', 'État': 'Très bon état'}"
Giant DEFY Advanced 2  - AUTRE - 92140,Vélo ayant très peu roulé environ 30 kms sur home trainer,1450 €,"['/_next/image?url=https%3A%2F%2Fmedia-cdn.troc-velo.com%2Ffull%2Fmain%2FbikeAds%2F734%2F55734%2F3955734%2F3955734-giant-defy-advanced-2-1739702572.jpg&w=1920&q=75', '/_next/image?url=https%3A%2F%2Fmedia-cdn.troc-velo.com%2Ffull%2Fmain%2FbikeAds%2F734%2F55734%2F3955734%2F3955734-giant-defy-advanced-2-1739702573.jpg&w=1920&q=75']","{'Année': '2021', 'État': 'Comme neuf', 'Groupe': 'Shimano 105', 'Taille du cadre': 'M/L', 'Diametre roues': '650', 'Matière principale': 'Carbone', 'Couleurs principales': 'Noir', 'Type de freinage': 'Disques', 'Pratique': 'Route', 'Nombres de vitesses': '10 vitesses'}"
